Date,FHX,FHVEC14,FHVEC30,FG14,FG30,FHX14,FHX30,FHN30,TX4,SQ2,SQ4,SQ14,SQ30,T10N30,DR30,RH14,RH30,RHX30,UG,UG1,UG2,UG3,UG4,UG14,UG30,UX30,UN,UN1,UN2,UN3,UN4,UN14,UN30,PG2,PG3,PG4,PG14,PX14,PN2,PN3,PN4,PN14,class
1998-11-25,30.0,14.0,14.0,17.153846153846153,17.153846153846153,30.0,30.0,4.615384615384615,15.0,65.0,73.0,35.230769230769226,35.230769230769226,-42.615384615384606,8.153846153846152,4.153846153846153,4.153846153846153,1.7692307692307692,90.0,83.0,83.0,77.0,84.0,88.61538461538461,88.61538461538461,95.0,84.0,75.0,64.0,63.0,75.0,77.46153846153847,77.46153846153847,10256,10311,10389,10226.384615384615,10256.384615384615,10236,10271,10360,10194.384615384615,0
1998-11-26,50.0,15.0,15.0,18.071428571428573,18.071428571428573,31.42857142857143,31.42857142857143,5.0,-12.0,37.0,73.0,32.714285714285715,32.714285714285715,-39.785714285714285,11.5,6.2857142857142865,6.2857142857142865,2.2857142857142856,94.0,90.0,83.0,83.0,77.0,89.0,89.0,95.28571428571428,87.0,84.0,75.0,64.0,63.0,78.14285714285714,78.14285714285714,10221,10256,10311,10221.42857142857,10252.0,10204,10236,10271,10187.642857142857,0
1998-11-27,50.0,14.928571428571427,15.866666666666667,18.0,18.8,32.142857142857146,32.666666666666664,5.333333333333333,-7.0,0.0,65.0,32.714285714285715,30.53333333333333,-35.06666666666667,12.0,5.0,6.466666666666668,2.333333333333333,96.0,94.0,90.0,83.0,83.0,89.35714285714286,89.46666666666668,95.46666666666668,91.0,87.0,84.0,75.0,64.0,78.57142857142857,79.0,10182,10221,10256,10228.642857142857,10260.285714285714,10166,10204,10236,10192.857142857143,0
1998-11-28,40.0,16.0,16.375,18.857142857142858,19.1875,32.857142857142854,33.125,5.625,-14.0,0.0,37.0,35.0,30.625,-31.3125,12.4375,4.714285714285714,6.75,2.625,92.0,96.0,94.0,90.0,83.0,89.0,89.625,95.625,81.0,91.0,87.0,84.0,75.0,77.78571428571429,79.125,10157,10182,10221,10240.42857142857,10271.5,10100,10166,10204,10203.642857142857,0
1998-11-29,40.0,17.071428571428573,16.705882352941178,19.928571428571427,19.647058823529417,33.57142857142857,33.529411764705884,6.470588235294117,9.0,0.0,0.0,34.92857142857143,28.823529411764714,-29.176470588235286,15.470588235294118,7.7142857142857135,8.823529411764708,3.0,93.0,92.0,96.0,94.0,90.0,88.57142857142857,89.8235294117647,95.70588235294115,88.0,81.0,91.0,87.0,84.0,77.14285714285714,79.6470588235294,10152,10157,10182,10245.07142857143,10278.07142857143,10104,10100,10166,10209.285714285714,0
1998-11-30,40.0,18.142857142857142,17.555555555555557,20.571428571428573,20.38888888888889,33.57142857142857,33.888888888888886,7.222222222222222,58.0,32.0,0.0,31.714285714285715,27.222222222222218,-27.944444444444446,14.611111111111109,7.7857142857142865,8.333333333333334,2.833333333333333,88.0,93.0,92.0,96.0,94.0,88.64285714285714,89.72222222222223,95.61111111111113,85.0,88.0,81.0,91.0,87.0,77.85714285714286,79.94444444444444,10173,10152,10157,10251.0,10283.5,10137,10104,10100,10216.214285714286,0
1998-12-01,60.0,20.5,18.894736842105264,22.785714285714285,21.63157894736842,36.42857142857143,35.26315789473684,8.421052631578947,72.0,0.0,0.0,31.07142857142857,26.315789473684212,-28.26315789473684,13.842105263157894,7.857142857142858,7.894736842105262,2.6842105263157894,85.0,88.0,93.0,92.0,96.0,88.35714285714286,89.47368421052632,95.31578947368419,79.0,85.0,88.0,81.0,91.0,78.71428571428571,79.89473684210526,10169,10173,10152,10256.42857142857,10288.714285714286,10129,10137,10104,10222.0,0
1998-12-02,70.0,22.714285714285715,20.25,24.92857142857143,22.95,38.57142857142857,37.0,9.5,69.0,0.0,32.0,30.357142857142854,25.0,-28.75,13.15,6.928571428571429,7.5,2.55,79.0,85.0,88.0,93.0,92.0,87.2142857142857,88.95,94.7,73.0,79.0,85.0,88.0,81.0,77.35714285714286,79.55,10303,10169,10173,10261.57142857143,10294.642857142857,10234,10129,10137,10225.0,0
1998-12-03,20.0,22.357142857142854,19.666666666666668,24.785714285714285,22.57142857142857,37.857142857142854,36.19047619047619,9.523809523809524,33.0,10.0,0.0,25.714285714285715,23.809523809523807,-29.0,12.523809523809526,6.928571428571429,7.142857142857142,2.4285714285714284,87.0,79.0,85.0,88.0,93.0,87.2142857142857,88.85714285714286,94.4761904761905,83.0,73.0,79.0,85.0,88.0,78.71428571428571,79.71428571428571,10368,10303,10169,10256.285714285714,10290.857142857143,10360,10234,10129,10217.214285714286,0
1998-12-04,40.0,24.0,20.045454545454547,26.42857142857143,23.04545454545455,39.285714285714285,36.36363636363637,10.0,19.0,0.0,0.0,21.428571428571427,23.181818181818183,-28.40909090909091,13.772727272727273,9.071428571428571,8.181818181818182,2.8181818181818183,92.0,87.0,79.0,85.0,88.0,87.35714285714286,89.0,94.5909090909091,87.0,83.0,73.0,79.0,85.0,79.64285714285714,80.04545454545455,10324,10368,10303,10233.42857142857,10270.357142857143,10279,10360,10234,10195.785714285714,0
